query,results
critically acclaimed horror from the 2010s,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""large"",""vector_relevance"":""small""}"
trending action comedy,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""large"",""vector_relevance"":""medium""}"
The Matrix,"{""lexical_relevance"":""large"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""not_relevant""}"
movies with unreliable narrators and twist endings,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
French New Wave films,"{""lexical_relevance"":""small"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
"that one where the city folds in on itself, not the animated one","{""lexical_relevance"":""small"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
Tom Hanks,"{""lexical_relevance"":""large"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""not_relevant""}"
"prestige TV vibes but it's a movie, ensemble cast, slow burn","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
Pixar movies that will make me cry,"{""lexical_relevance"":""small"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
"not another Marvel movie, give me something like Nolan's work but more accessible and under 2 hours","{""lexical_relevance"":""medium"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
leandro dicaprio boat movie,"{""lexical_relevance"":""large"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""small""}"
something cozy for a rainy Sunday that won't stress me out,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
kids movies in Spanish,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""large"",""vector_relevance"":""small""}"
overrated superhero blockbusters,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""medium"",""vector_relevance"":""small""}"
something like John Wick but less violent,"{""lexical_relevance"":""medium"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
movies from the 90s on Netflix under 2 hours,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""large"",""vector_relevance"":""not_relevant""}"
disturbing psychological thrillers that mess with your head,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""medium"",""vector_relevance"":""large""}"
Brad Pitt and George Clooney heist movies from before 2010,"{""lexical_relevance"":""large"",""metadata_relevance"":""medium"",""vector_relevance"":""small""}"
